Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-August-2024,1255.00,1309.00,1231.05,1261.00,1273.947922912707449935,511991,19773,652249871.00,68096,13.30,77.95,6.00
1-August-2024,1137.40,1347.90,1121.00,1274.55,1250.430213104619031516,1463835,58345,1830423511.00,172758,11.80,226.90,137.15
31-July-2024,1150.05,1169.40,1125.00,1137.60,1140.586993075910977449,393698,13591,449046818.00,154349,39.20,44.40,-12.45
30-July-2024,1067.00,1137.00,1053.65,1125.40,1103.409630302547045154,702304,27525,774928997.00,316553,45.07,83.35,58.40
29-July-2024,1056.05,1109.85,1048.45,1052.25,1076.038663047595000631,316840,13780,340932090.00,91160,28.77,61.40,-3.80
26-July-2024,1051.05,1150.00,1041.70,1052.50,1085.886113106845940675,292290,12965,317393652.00,69454,23.76,108.30,1.45
25-July-2024,1025.95,1060.00,1023.60,1048.95,1042.337156104340126182,162622,7081,169506953.00,75178,46.23,36.40,23.00
24-July-2024,1023.05,1047.00,1023.00,1036.35,1037.435458845082534163,53493,2392,55495535.00,19589,36.62,24.00,13.30
23-July-2024,1005.00,1033.00,975.00,1021.95,1012.865121850784262344,80139,4206,81169998.00,19437,24.25,58.00,16.95
22-July-2024,1005.95,1014.90,985.00,1010.45,1004.593019439417098810,106639,5543,107128795.00,35188,33.00,29.90,4.50
19-July-2024,1009.00,1019.20,1002.35,1011.05,1011.710224493123878893,36794,2337,37224866.00,10250,27.86,16.85,2.05
18-July-2024,1017.50,1024.00,1005.00,1009.75,1012.373129719563203548,106869,5275,108191304.00,48135,45.04,19.00,-7.75
16-July-2024,1014.50,1047.80,1014.50,1022.30,1033.783554376657824933,184730,8100,190970836.00,77368,41.88,33.30,7.80
15-July-2024,1004.05,1024.70,998.45,1013.70,1013.986136619806954004,174777,7980,177221455.00,86430,49.45,26.25,9.65
12-July-2024,1001.95,1010.60,1000.55,1005.20,1004.752153592375366568,21824,1413,21927711.00,12615,57.80,10.05,3.25
11-July-2024,1003.00,1011.00,998.30,1000.85,1003.647989307888815577,118218,4852,118649258.00,50168,42.44,12.70,-2.15
10-July-2024,1003.70,1014.00,985.50,1003.85,998.636745106923690664,101521,7035,101382601.00,33414,32.91,28.50,0.15
9-July-2024,1005.00,1033.00,1001.00,1003.75,1015.949494509325431410,114740,6709,116570045.00,50551,44.06,32.00,-1.25
8-July-2024,1007.20,1018.75,994.55,999.55,1003.104511438956596108,140310,7884,140745594.00,66340,47.28,24.20,-7.65
5-July-2024,1025.00,1025.20,1010.20,1013.40,1017.917779318243467253,33179,2464,33773494.00,16164,48.72,15.00,-11.60
4-July-2024,1035.20,1047.50,1021.00,1024.80,1035.075936930892360778,41732,2403,43195789.00,15137,36.27,26.50,-10.40
3-July-2024,1039.35,1040.65,1020.20,1035.10,1029.712980878670612337,35144,2641,36188233.00,14247,40.54,20.45,-4.25
2-July-2024,1000.75,1062.00,1000.75,1023.80,1033.913539416271827351,352253,14941,364199146.00,168000,47.69,61.25,23.05
1-July-2024,1001.30,1007.00,995.90,999.50,1000.536051894199878886,97429,5076,97481227.00,39371,40.41,11.10,-1.80
28-June-2024,1013.65,1018.40,992.05,997.95,1006.036569040389199072,30627,2276,30811882.00,14661,47.87,26.35,-15.70
27-June-2024,1010.00,1017.60,1005.95,1012.05,1010.664535119772634997,19704,1638,19914134.00,7216,36.62,11.65,2.05
